0	81
2	67
4	66
1	64
11	57
8	57
5	57
13	51
12	49
19	48
14	46
15	45
22	43
38	43
56	42
9	41
16	41
23	39
33	38
25	38
84	37
103	37
20	36
57	36
3	36
58	35
121	35
17	33
10	32
59	32
69	32
60	32
47	32
7	31
104	30
48	30
36	30
29	30
40	30
46	30
85	30
52	29
34	29
162	28
30	28
41	27
39	27
114	27
64	27
31	27
210	26
21	26
74	26
18	26
67	26
24	26
97	25
98	25
86	25
241	25
115	25
49	25
173	24
151	24
174	24
44	24
42	24
89	24
99	23
90	23
226	23
26	23
242	23
140	23
183	23
184	22
480	22
122	22
76	22
100	21
37	21
50	21
45	21
70	21
123	21
131	21
75	21
345	21
243	21
91	21
185	20
101	20
87	20
175	20
116	20
141	20
92	20
163	20
65	20
211	19
79	19
71	19
212	19
367	19
53	19
152	19
153	19
288	19
105	18
176	18
213	18
442	18
142	18
289	18
143	18
106	18
54	18
35	18
214	18
368	18
177	18
186	18
107	18
32	18
80	18
144	18
68	17
72	17
6	17
227	17
481	17
63	17
563	17
124	17
228	17
310	17
823	17
27	17
311	17
132	17
93	17
51	17
229	17
43	17
125	17
369	17
187	17
73	17
200	17
482	17
81	17
133	17
244	16
145	16
178	16
146	16
108	16
524	16
201	16
109	16
230	16
117	16
164	16
245	16
215	16
126	15
147	15
165	15
346	15
77	15
312	15
443	15
166	15
737	15
402	15
28	15
370	15
564	15
154	15
738	15
565	15
290	15
525	15
526	15
118	15
94	15
444	15
188	15
483	15
371	15
216	14
61	14
78	14
484	14
527	14
485	14
403	14
246	14
119	14
566	14
134	14
528	14
231	14
291	14
82	14
292	14
739	14
529	14
313	14
189	14
190	14
217	14
191	14
740	14
148	14
127	13
404	13
405	13
218	13
247	13
1007	13
66	13
406	13
314	13
95	13
638	13
639	13
372	13
135	13
62	13
1155	13
167	13
640	13
1008	13
910	13
149	13
567	13
407	13
568	13
315	13
569	12
741	12
824	12
136	12
248	12
128	12
347	12
1009	12
641	12
825	12
530	12
1010	12
408	12
826	12
179	12
642	12
249	12
293	12
445	12
110	12
446	12
1011	12
911	12
1156	12
570	12
486	12
250	12
348	12
643	12
827	11
1724	11
373	11
374	11
571	11
375	11
742	11
219	11
487	11
232	11
155	11
1288	11
572	11
233	11
294	11
295	11
296	11
912	11
376	11
488	11
409	11
573	11
220	11
102	11
410	11
574	11
202	11
349	11
828	11
644	11
743	11
350	11
913	11
914	11
83	11
192	11
351	11
744	11
251	11
316	11
447	11
352	11
377	11
234	11
168	11
297	11
575	11
411	11
235	10
448	10
111	10
1489	10
745	10
1289	10
449	10
576	10
450	10
412	10
531	10
915	10
203	10
193	10
489	10
577	10
378	10
298	10
746	10
747	10
451	10
1012	10
204	10
169	10
55	10
645	10
317	10
490	10
532	10
491	10
578	10
236	10
492	10
137	10
829	10
299	10
1013	10
413	10
1725	10
579	10
580	10
493	10
1014	10
494	10
252	10
353	10
205	10
253	10
379	10
1490	10
354	10
1726	10
380	10
830	10
916	10
156	10
495	10
254	10
414	10
1015	10
496	10
415	10
237	10
255	10
381	10
416	10
646	10
831	9
1727	9
256	9
917	9
1290	9
497	9
257	9
1491	9
120	9
1016	9
2018	9
157	9
112	9
581	9
832	9
748	9
749	9
1291	9
88	9
258	9
2958	9
1492	9
300	9
382	9
259	9
918	9
355	9
647	9
1157	9
582	9
533	9
750	9
417	9
1493	9
301	9
452	9
751	9
752	9
498	9
453	9
170	9
206	9
1292	9
499	9
648	9
583	9
418	9
919	9
1728	9
356	9
649	9
500	9
419	9
1158	9
1159	9
357	9
920	8
753	8
171	8
1017	8
1018	8
358	8
501	8
754	8
1494	8
2422	8
921	8
359	8
1293	8
650	8
651	8
584	8
194	8
585	8
755	8
652	8
